자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,（주）대아펌프,유압 기기 제조업,경기도,법인,46,17079900,0,1
2026-07,(주)영신티알,그 외 자동차용 신품 부품 제조업,경상남도,법인,35,9388840,0,0
2026-07,메딕스제약(주),완제 의약품 제조업,전남광주통합특별시,법인,77,22206080,3,5
2026-07,대일화학,BIZ_NO미존재사업장,경상남도,개인,139,37920480,4,4
2026-07,사회복지법인승우정신요양원,BIZ_NO미존재사업장,경기도,법인,39,15790120,0,0
2026-07,코스파(주)진천공장,합성수지 및 기타 플라스틱 물질 제조업,충청북도,법인,44,20408540,1,2
2026-07,인싸이트그룹(주),경영 컨설팅업,서울특별시,법인,50,13763400,2,2
2026-07,(주)셀파인네트웍스,통신ㆍ방송장비 및 부품 도매업,서울특별시,법인,33,16550400,0,1
2026-07,경기도의료원 의정부병원,요양병원,경기도,법인,279,136219720,10,13
2026-07,논산시립노인전문병원,요양병원,충청남도,법인,48,19206340,2,2
2026-07,티디에프코리아（주）,커피 및 차류 도매업,서울특별시,법인,46,13823260,2,0
2026-07,주식회사엘엑스컴퍼니,가죽의복 제조업,서울특별시,법인,45,18149180,1,0
2026-07,경기도의료원 수원병원,요양병원,경기도,법인,334,155147880,10,6
2026-07,경기광명지역자활센터,컴퓨터 및 주변장치  소프트웨어 소매업,경기도,법인,50,8672580,3,2
2026-07,(재)한국자치경제연구원,기타 인문 및 사회과학 연구개발업,제주특별자치도,법인,61,16914460,0,0
2026-07,강호산업(주),그 외 자동차용 신품 부품 제조업,울산광역시,법인,93,45780240,2,2
2026-07,(주) 카티스,유선 통신장비 제조업,경기도,법인,73,35934800,0,1
2026-07,한국해양조사협회,기타 인쇄물 출판업,서울특별시,법인,64,26109920,3,2
2026-07,(재)한국의학연구소(여의도분사무소),그 외 기타 보건업,서울특별시,법인,241,102191940,6,5
2026-07,대정에이앤지（주）,전기용 기계ㆍ장비 및 관련 기자재 도매업,서울특별시,법인,32,14880660,0,0
2026-07,평내고등학교,BIZ_NO미존재사업장,경기도,법인,31,9603440,0,0
2026-07,주식회사 대신환경기술,그 외 기타 상품 전문 도매업,경기도,법인,159,54155980,10,2
2026-07,신주중학교,BIZ_NO미존재사업장,경상남도,법인,30,10158900,0,0
2026-07,(주)세경하이테크,기타 반도체 소자 제조업,경기도,법인,243,106353360,2,5
2026-07,(주)다사랑,가금류 가공 및 저장 처리업,전북특별자치도,법인,45,16649140,2,0
2026-07,삼성산업관리(주),건축물 일반 청소업,충청북도,법인,41,9318040,0,1
2026-07,재단법인예술경영지원센터,BIZ_NO미존재사업장,서울특별시,법인,80,27535820,0,1
2026-07,주식회사 잇츠한불,화장품 및 화장용품 도매업,서울특별시,법인,73,30952000,3,2
2026-07,유한책임회사 하이모 관리본부,모조 귀금속 및 모조 장신용품 제조업,충청남도,법인,74,24842560,2,1
2026-07,(주)좋은이엔지,기타 엔지니어링 서비스업,충청북도,법인,38,10451380,2,0
2026-07,(주)다림티센,전기식 진단 및 요법 기기 제조업,서울특별시,법인,126,53236980,7,5
2026-07,횡성군노인전문요양원,BIZ_NO미존재사업장,강원특별자치도,법인,30,7286640,1,2
2026-07,동청도농업협동조합,국내은행,경상북도,법인,30,15764180,1,0
2026-07,청호나이스(주),산업용 냉장 및 냉동장비 제조업,충청북도,법인,802,334969060,19,19
2026-07,카포상사주식회사,운동 및 경기용품 도매업,서울특별시,법인,37,9854140,2,1
2026-07,연제고등학교(직장),비주거용 건물 임대업(점포  자기땅),부산광역시,법인,31,11871500,1,0
2026-07,사회복지법인혜원 영도구노인복지관,BIZ_NO미존재사업장,부산광역시,법인,64,11756500,1,0
2026-07,(주)대진,주형 및 금형 제조업,인천광역시,법인,37,12304600,2,2
2026-07,시흥시체육회,BIZ_NO미존재사업장,경기도,법인,52,13292700,2,1
2026-07,신양초등학교,BIZ_NO미존재사업장,경상남도,법인,30,9473200,1,4
2026-07,(재)철원플라즈마산업기술연구원,기타 인문 및 사회과학 연구개발업,강원특별자치도,법인,30,12360500,0,0
2026-07,주식회사 샘서울,문서 작성업,서울특별시,법인,52,19979060,1,2
2026-07,제이에프글로벌주식회사,기타 통신 판매업,경기도,법인,34,11471520,0,4
2026-07,리더스병원,요양병원,서울특별시,개인,57,18614300,3,0
2026-07,에이지씨디스플레이글라스오창(주),가정용 유리제품 제조업,충청북도,법인,143,75029360,2,0
2026-07,세종대학교산학협력단,기타 인문 및 사회과학 연구개발업,서울특별시,법인,325,93029800,8,9
2026-07,주식회사이에스이,기타 반도체 소자 제조업,경기도,법인,61,22724300,1,1
2026-07,(주)대근지앤씨,미장  타일 및 방수 공사업,서울특별시,법인,46,24738420,1,0
2026-07,한화피플라이프 주식회사,보험 대리 및 중개업,서울특별시,법인,317,113754020,6,1
2026-07,(주)현대리바트 엠앤에스,애완 동물 장묘 및 보호 서비스업,경기도,법인,231,88087000,4,4
2026-07,(주)미섬시스텍,배전반 및 전기 자동제어반 제조업,경기도,법인,58,22753940,1,1
2026-07,네덱(주),기타 반도체 소자 제조업,경상북도,법인,137,49736200,3,2
2026-07,(주)티씨씨아이엔에스,컴퓨터 시스템 통합 자문 및 구축 서비스업,서울특별시,법인,35,16362400,0,0
2026-07,한국플랜트,산업용 냉장 및 냉동장비 제조업,충청북도,개인,35,13227860,0,6
2026-07,이넥스트아이,응용 소프트웨어 개발 및 공급업,서울특별시,법인,35,15487260,0,0
2026-07,신우폴리텍스(주),금속 문  창  셔터 및 관련제품 제조업,충청북도,법인,43,12878800,1,1
2026-07,논현중학교(직장),BIZ_NO미존재사업장,인천광역시,법인,32,10969160,0,0
2026-07,삼광선재(주),금속선 가공제품 제조업,경기도,법인,54,14533440,3,2
2026-07,한국에코산업주식회사,금속류 원료 재생업,경기도,법인,37,14714600,5,5
2026-07,(주)큐브리드,응용 소프트웨어 개발 및 공급업,서울특별시,법인,66,33113860,0,2
2026-07,관악장애인자립생활센터,BIZ_NO미존재사업장,서울특별시,법인,75,11971620,5,7
2026-07,주식회사 화이브오션,외항 화물 운송업,서울특별시,법인,38,19961840,2,0
2026-07,어보브반도체주식회사,기타 반도체 소자 제조업,충청북도,법인,210,120801580,1,1
2026-07,의료법인 고담의료재단마더스병원,요양병원,울산광역시,법인,120,36521480,3,2
2026-07,주）진사재활용,지정 외 폐기물 수집  운반업,경상남도,법인,35,10313000,0,0
2026-07,(주)선인프라,컴퓨터 및 주변장치  소프트웨어 도매업,경기도,법인,37,12521820,1,0
2026-07,(주)조인스에이치알,그 외 기타 분류 안된 전문  과학 및 기술 서비스업,서울특별시,법인,49,14913340,0,0
2026-07,단국대학교치과대학부속치과병원,치과병원,충청남도,법인,32,7083640,2,1
2026-07,의료법인조윤의료재단,해당없음,충청북도,법인,148,46383360,2,5
2026-07,(주)상원,측량업,전남광주통합특별시,법인,36,10588780,3,3
2026-07,주식회사 미네르바소프트,응용 소프트웨어 개발 및 공급업,서울특별시,법인,33,13841900,0,1
2026-07,(주)대일산업,배관 및 냉ㆍ난방 공사업,대구광역시,법인,94,25049940,7,3
2026-07,주식회사정훈정보시스템,통신ㆍ방송장비 및 부품 도매업,경상남도,법인,30,6935540,0,1
2026-07,재단법인서울테크노파크,의학 및 약학 연구개발업,서울특별시,법인,33,12745400,3,0
2026-07,평택노인복지센터,BIZ_NO미존재사업장,경기도,법인,54,8441020,0,0
2026-07,성포고등학교,비주거용 건물 임대업(점포  자기땅),경기도,법인,36,12911160,0,0
2026-07,（주）대성기업개발,건축물 일반 청소업,충청남도,법인,82,24595420,5,2
2026-07,(주)챔프정보,응용 소프트웨어 개발 및 공급업,서울특별시,법인,46,18747380,0,1
2026-07,유한회사에이치엔비,한식 일반 음식점업,전남광주통합특별시,법인,39,10064640,1,4
2026-07,으뜸새마을금고,신용조합,대전광역시,법인,36,19811260,0,1
2026-07,(주)아이에스에프넷코리아,컴퓨터 시스템 통합 자문 및 구축 서비스업,서울특별시,법인,56,14047260,5,2
2026-07,울산동구지역자활센터-자활근로,BIZ_NO미존재사업장,울산광역시,법인,46,6941780,1,3
2026-07,도쿄일렉트론코리아 주식회사,기타 반도체 소자 제조업,경기도,법인,2164,1300747440,10,8
2026-07,앤알캐피탈대부(주),그 외 기타 분류 안된 전문  과학 및 기술 서비스업,서울특별시,법인,33,12743000,1,1
2026-07,순천하나병원,일반의원,전남광주통합특별시,개인,200,66244840,3,3
2026-07,사단법인교사선교회 (별무리학교),BIZ_NO미존재사업장,충청남도,법인,51,15788780,0,3
2026-07,(주)에이스테크놀로지,비디오 및 기타 영상 기기 제조업,인천광역시,법인,263,93860980,15,17
2026-07,강원도농업기술원원예연구과,비주거용 건물 임대업(점포  자기땅),강원특별자치도,법인,50,14157840,0,0
2026-07,더프라임병원,BIZ_NO미존재사업장,경상남도,개인,61,18082720,2,1
2026-07,미광금속(주),도장 및 기타 피막 처리업,경상남도,법인,49,12943660,0,0
2026-07,동영정밀,주형 및 금형 제조업,대구광역시,개인,30,14845500,1,0
2026-07,(주)떡파는사람들,떡류 제조업,대구광역시,법인,175,46171260,1,2
2026-07,(주)브랜디포,상품 종합 도매업,서울특별시,법인,38,11015340,1,1
2026-07,에이치에스도매유통,비주거용 건물 임대업(점포  자기땅),경상남도,개인,30,7509240,0,0
2026-07,미리벌초등학교(직장),BIZ_NO미존재사업장,경상남도,법인,31,8733300,1,3
2026-07,(주)에이치에스지,기타 반도체 소자 제조업,인천광역시,법인,75,26983100,3,1
2026-07,아주노무법인부산사무소,기타 법무관련 서비스업,부산광역시,법인,47,11208120,0,3
2026-07,대한불교조계종 해인사,BIZ_NO미존재사업장,경상남도,법인,34,7092780,2,1
2026-07,경기도의료원이천병원,요양병원,경기도,법인,343,160809760,2,3
2026-07,주식회사테스크,그 외 자동차용 신품 부품 제조업,경상북도,법인,51,17433300,5,3
2026-07,(주)에드파워테크,기타 반도체 소자 제조업,충청남도,법인,33,8314400,1,2
