업종,사업장수,월회전율중앙값,p25,p75,p90
비주거용 건물 임대업,29,0.02703,0.00758,0.04217,0.08696
자수제품 및 자수용 재료 제조업,11,0.02703,0.01515,0.04286,0.06667
개인 간병 및 유사 서비스업,21,0.02703,0.00893,0.04286,0.07812
비금속광물 분쇄물 생산업,29,0.02679,0.01562,0.04167,0.05882
데이터베이스 및 온라인 정보 제공업,284,0.02675,0.01181,0.04717,0.08095
섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,92,0.02669,0.01163,0.04839,0.06452
시설물 유지관리 공사업,84,0.0264,0.01333,0.06028,0.11207
셔츠 및 블라우스 제조업,11,0.02632,0.01744,0.03947,0.0625
가금류 가공 및 저장 처리업,101,0.02632,0.01316,0.05405,0.08163
건어물 및 젓갈류 도매업,18,0.02601,0.01667,0.04082,0.08974
문서 작성업,89,0.02586,0.01429,0.05405,0.07778
모피 및 가죽 제조업,9,0.02586,0.0084,0.0297,0.13095
기타 인문 및 사회과학 연구개발업,512,0.02575,0.0125,0.04167,0.0618
가죽의복 제조업,185,0.02568,0.01382,0.04592,0.075
인형 및 장난감 제조업,17,0.02564,0.01266,0.0375,0.05738
가구 소매업,9,0.02564,0.01389,0.03226,0.06024
그 외 기타 분류 안된 금융업,26,0.02561,0.0125,0.03731,0.05319
광고물 문안  도안  설계 등 작성업,8,0.02557,0.02083,0.04839,0.07778
귀금속 및 관련제품 제조업,10,0.02551,0.01471,0.02941,0.05
기타 건축용 나무제품 제조업,32,0.02545,0.01667,0.09091,0.19697
그 외 기타 금속 가공업,40,0.02521,0.01429,0.05,0.125
비메모리용 및 기타 전자집적회로 제조업,8,0.02508,0.02326,0.03268,0.07812
면류  마카로니 및 유사 식품 제조업,39,0.025,0.01493,0.03046,0.05215
알루미늄 주물 주조업,27,0.025,0.01282,0.03623,0.04545
그 외 기타 분류 안된 상품 전문 소매업,25,0.025,0.00649,0.04286,0.0553
기타 게임 소프트웨어 개발 및 공급업,13,0.025,0.01111,0.03714,0.13043
주차장 운영업,36,0.02487,0.01042,0.04545,0.06771
치약  비누 및 기타 세제 제조업,72,0.02485,0.01111,0.03571,0.05405
공연 기획업,38,0.02479,0.01364,0.04605,0.09524
가방 및 기타 보호용 케이스 제조업,20,0.02476,0.01471,0.03704,0.13333
의학 및 약학 연구개발업,43,0.02475,0.01293,0.03571,0.06579
골프장 운영업,134,0.0247,0.0122,0.03731,0.06641
