자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,주식회사에스비시큐리티,경비 및 경호 서비스업,부산광역시,법인,45,12033820,0,2
2026-07,사단법인 한국교과서협회,매니저업,경기도,법인,38,16294500,0,0
2026-07,현대하이카손해사정(주),보험 대리 및 중개업,서울특별시,법인,1131,582709520,4,5
2026-07,서울에너지공사,증기  냉ㆍ온수 및 공기 조절 공급업,서울특별시,법인,269,148448920,18,11
2026-07,(주)세강,그 외 자동차용 신품 부품 제조업,부산광역시,법인,109,35301840,15,2
2026-07,주식회사라이어트,남녀용 겉옷 및 셔츠 도매업,서울특별시,법인,36,10380920,3,3
2026-07,한맥중공업(주)/일용/평택전자P4대기방지신축공사 중 철골및금속공사[PH4 FAB북 복합동]+[PH2 FAB남 동],금속 문  창  셔터 및 관련제품 제조업,경기도,법인,133,40664440,16,0
2026-07,(주)다한/일용/2026년도 년간 내화물 보수물량 일괄도급 계약 (다한),방음  방진 및 내화 공사업,강원특별자치도,법인,30,9990000,24,1
2026-07,강림중공업（주）,산업용 난방보일러 및 방열기 제조업,경상남도,법인,348,147648880,5,14
2026-07,주식회사 지아이웍스 구로지점,포장용 플라스틱 성형용기 제조업,서울특별시,법인,56,14726180,4,5
2026-07,롯데쇼핑(주)롯데마트사업본부,백화점,서울특별시,법인,9524,3152916240,213,184
2026-07,화성,포장용 플라스틱 성형용기 제조업,인천광역시,개인,32,11100840,0,0
2026-07,주식회사서플라이스(SUPPLIES),전자상거래 소매업,서울특별시,법인,533,105249840,69,71
2026-07,아르고마린토탈(주),번역 및 통역 서비스업,전남광주통합특별시,법인,58,23244000,0,2
2026-07,(주)신유건설/일용/남원주역세권 A-2블럭 중흥S-클래스 공동주택 신축공사 중 골조공사,콘크리트 및 철근 공사업,강원특별자치도,법인,39,17232780,1,7
2026-07,(주)에너지테크솔루션,축전지 제조업,서울특별시,법인,56,22550620,0,1
2026-07,주식회사 에이팩스,배전반 및 전기 자동제어반 제조업,충청북도,법인,82,20305160,3,5
2026-07,주식회사서호이앤씨,배관 및 냉ㆍ난방 공사업,충청남도,법인,106,31078280,1,1
2026-07,주식회사리포나,유선 통신장비 제조업,경기도,법인,45,10072740,0,0
2026-07,서울대학교생활협동조합,비알코올 음료 도매업,서울특별시,법인,150,48273180,4,3
