업종,사업장수,월회전율중앙값
치약  비누 및 기타 세제 제조업,72,0.02485
공연 기획업,38,0.02479
가방 및 기타 보호용 케이스 제조업,20,0.02476
의학 및 약학 연구개발업,43,0.02475
골프장 운영업,134,0.0247
산업설비  운송장비 및 공공장소 청소업,51,0.02459
보험 대리 및 중개업,96,0.02441
외항 화물 운송업,74,0.0244
여행사업,69,0.02439
기록매체 복제업,17,0.02439
전세버스 운송업,43,0.02439
간판 및 광고물 제조업,29,0.02439
생활용 유리ㆍ요업ㆍ목재ㆍ금속제품 및 날붙이 도매업,31,0.02439
설치용 및 위생용 플라스틱제품 제조업,19,0.02439
전자코일  변성기 및 기타 전자 유도자 제조업,31,0.02425
그 외 기타 분류 안된 전문  과학 및 기술 서비스업,236,0.02421
경 인쇄업,18,0.02417
모조 귀금속 및 모조 장신용품 제조업,10,0.02402
시장 조사 및 여론 조사업,46,0.024
산업용 난방보일러 및 방열기 제조업,58,0.02399
안경  사진장비 및 광학용품 도매업,25,0.02381
그 외 기타 종합 소매업,13,0.02381
포장 및 충전업,33,0.02381
금속 가구 제조업,22,0.02341
기타 과실ㆍ채소 가공 및 저장 처리업,28,0.02331
공연시설 운영업,24,0.02329
일반용 전기 조명장치 제조업,48,0.02316
결혼 상담 및 준비 서비스업,8,0.02314
기타 가정용 전기 기기 제조업,14,0.0231
면 방적업,11,0.02308
컴퓨터 및 주변장치  소프트웨어 소매업,22,0.02302
세무사업,46,0.02298
인물 사진 및 행사용 영상 촬영업,10,0.02293
광고 영화 및 비디오물 제작업,19,0.02292
자동차 엔진용 신품 부품 제조업,9,0.02282
박물관 운영업,28,0.02273
화물 운송 중개  대리 및 관련 서비스업,45,0.02273
주거용 건물 건설업,61,0.02273
컴퓨터 및 주변 기기 수리업,31,0.02273
플라스틱 선  봉  관 및 호스 제조업,23,0.02273
낙농품 및 동ㆍ식물성 유지 도매업,9,0.02273
음ㆍ식료품 및 담배 가공기계 제조업,13,0.02273
기타 소사장제,85,0.02273
기타 공학 연구개발업,18,0.02239
용달 화물 자동차 운송업,37,0.02239
애완 동물 장묘 및 보호 서비스업,160,0.02233
기념품  관광 민예품 및 장식용품 소매업,8,0.02226
자동차 차체용 신품 부품 제조업,24,0.02223
솜 및 실 염색 가공업 / 직물  편조 원단 및 의복류,11,0.02222
육류 도축업(가금류 제외) / 가금류 도축업,50,0.02206
치과병원,74,0.022
증권 중개업,32,0.02198
기타 산업용 기계 및 장비 도매업,85,0.02198
박판  합판 및 유사 적층판 제조업,12,0.02195
주형 및 금형 제조업,245,0.0219
액체 연료 및 관련제품 도매업,23,0.02187
떡류 제조업,66,0.02177
상품 종합 도매업,724,0.02174
플라스틱 물질 및 합성고무 도매업,21,0.02174
재생용 재료 수집 및 판매업,21,0.02174
사진기  영사기 및 관련 장비 제조업,12,0.02162
판지 상자 및 용기 제조업,8,0.02158
금속 문  창  셔터 및 관련제품 제조업,304,0.02139
건축 설계 및 관련 서비스업,150,0.02133
스크린 인쇄업,152,0.02117
측량업,40,0.02117
그 외 기타 분류 안된 섬유제품 제조업,35,0.02113
기타 정보 기술 및 컴퓨터 운영 관련 서비스업,75,0.02113
그 외 기타 의료용 기기 제조업,44,0.02112
그 외 기타 식료품 제조업,28,0.02093
응용 소프트웨어 개발 및 공급업,2011,0.02083
BIZ_NO미존재사업장,7239,0.02083
기타 기술 시험  검사 및 분석업,141,0.02083
의료 기기 도매업,99,0.02083
자문 감독 지도료 고문료 교정료,9,0.02083
장류 제조업,18,0.0208
화학섬유직물 직조업,50,0.02073
악기 도매업,8,0.02068
산업용 로봇 제조업,167,0.02055
그 외 기타 기계 및 장비 도매업,47,0.02055
의료용품 및 기타 의약 관련제품 제조업,73,0.02049
자동차 신품 판매업,86,0.02047
자료 처리업,26,0.02028
산업 처리공정 제어장비 제조업,85,0.02016
백화점,18,0.02015
육류 도축업(가금류 제외),33,0.02
소주 제조업,9,0.02
배전반 및 전기 자동제어반 제조업,288,0.01992
편조의복 제조업,14,0.01988
기타 인쇄물 출판업,36,0.0198
통관 대리 및 관련서비스업 / 화물 운송 중개  대리,168,0.01974
가전제품 소매업,18,0.01973
그 외 기타 상품 전문 도매업,53,0.01961
그 외 기타 분류 안된 금속 가공제품 제조업,17,0.01961
기타 엔지니어링 서비스업,694,0.01954
유선 온라인 게임 소프트웨어 개발 및 공급업,22,0.01946
그 외 기타 건축자재 도매업,40,0.01929
커피 가공업,46,0.01926
컴퓨터 시스템 통합 자문 및 구축 서비스업,201,0.01923
주방용 전기 기기 제조업,61,0.01923
일반 창고업,81,0.01923
일반 철물 제조업,30,0.01914
공인회계사업,117,0.01899
통신ㆍ방송장비 및 부품 도매업,127,0.01899
신문용지 제조업,33,0.01894
전자상거래 소매 중개업,16,0.01888
기타 반도체 소자 제조업,1276,0.01887
전기식 진단 및 요법 기기 제조업,157,0.01887
그 외 기타 플라스틱 제품 제조업,81,0.01887
액상 시유 및 기타 낙농제품 제조업,44,0.01884
기타 통신 판매업,20,0.01878
구두류 제조업,33,0.01877
일반 저울 제조업,10,0.01868
그 외 기타 특수 목적용 기계 제조업,14,0.01847
볼링장 운영업,10,0.0184
1차 금속제품 도매업,51,0.01829
분말 야금제품 제조업,67,0.01829
그 외 기타 개인 및 가정용품 임대업,13,0.01829
안경 및 안경렌즈 제조업,65,0.01825
시외버스 운송업,54,0.01818
제조 / 코코아제품및설탕과자,11,0.01818
그 외 기타 전기장비 제조업,18,0.01813
수산동물 건조 및 염장품 제조업,86,0.0181
전동기 및 발전기 제조업,120,0.01778
일반 서적 출판업,115,0.0177
기타 항공 운송지원 서비스업,21,0.01765
시각 디자인업,21,0.01765
금속 캔 및 기타 포장용기 제조업,41,0.01754
기타 목재 가구 제조업,67,0.01754
기타 일반 기계 및 장비 수리업,31,0.01754
공인회계사업(기장대리) / 기타 회계 관련 서비스업,12,0.0175
선박 구성 부분품 제조업,360,0.01745
산업용 냉장 및 냉동장비 제조업,395,0.01744
택배업,52,0.01739
포장용 플라스틱 성형용기 제조업,329,0.01724
변압기 제조업,8,0.01721
항공기용 부품 제조업,54,0.01721
완제 의약품 제조업,171,0.01716
건강 보조식품 소매업,14,0.01697
컴퓨터 제조업,179,0.01695
과자류 및 코코아 제품 제조업,63,0.01695
통신 재판매업,27,0.01695
화학 살균ㆍ살충제 및 농업용 약제 제조업,20,0.01688
서적  신문 및 잡지류 소매업,11,0.01682
주류 도매업,70,0.01681
모바일 게임 소프트웨어 개발 및 공급업,20,0.0168
금속류 원료 재생업,28,0.01674
축전지 제조업,80,0.01671
컴퓨터 및 주변장치  소프트웨어 도매업,246,0.01667
,51,0.01667
절연 코드세트 및 기타 도체 제조업,17,0.01667
스키장 운영업,9,0.01667
암면 및 유사 제품 제조업,23,0.01667
