자료생성년월,사업장명,업종,시도,사업장형태,적용일자,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,한국콜마주식회사,화장품 제조업,세종특별자치시,법인,2012-10-01,1501,715957580,57,37
2026-07,회계법인마일스톤,공인회계사업,서울특별시,법인,2019-12-01,57,20431120,6,11
2026-07,양천어르신종합복지관,BIZ_NO미존재사업장,서울특별시,법인,2009-01-09,30,3824380,0,0
2026-07,서울기독대학교,BIZ_NO미존재사업장,서울특별시,법인,1998-12-01,79,7174340,0,1
2026-07,원영건업（주）/일용/힐스테이트 송도센터파크 철근콘크리트공사(인천지사),유리 및 창호 공사업,인천광역시,법인,2024-10-04,82,24451540,1,1
2026-07,오뚜기에스에프주식회사,수산동물 건조 및 염장품 제조업,경상남도,법인,2017-08-01,161,49651360,0,0
2026-07,주식회사 아키아카,응용 소프트웨어 개발 및 공급업,서울특별시,법인,2011-12-01,96,23895340,24,13
2026-07,주식회사 부창기업,고용 알선업,울산광역시,법인,2003-03-01,120,58120680,9,3
2026-07,동국대학교,기타,서울특별시,법인,2000-08-01,1323,218069760,24,22
2026-07,(주）포유이엔지/일용/에스오일 샤윈프로젝트 중 철골공사,금속 문  창  셔터 및 관련제품 제조업,울산광역시,법인,2024-05-29,37,21319760,11,0
2026-07,김포고촌농업협동조합,신용조합,경기도,법인,1988-01-01,69,35262860,1,1
2026-07,주식회사미주산업,BIZ_NO미존재사업장,경상남도,법인,2015-01-01,152,61518700,0,1
2026-07,코리아갈바(주),도장 및 기타 피막 처리업,경상남도,법인,2001-09-01,30,12528300,0,0
2026-07,주식회사삼원무역,생활용 유리ㆍ요업ㆍ목재ㆍ금속제품 및 날붙이 도매업,경기도,법인,2011-06-01,52,15582140,0,4
2026-07,(의)대진의료재단분당제생병원,요양병원,경기도,법인,1998-07-01,1375,553363520,10,21
2026-07,(주)코스트코코리아,기타 대형 종합 소매업,경기도,법인,1998-06-01,6968,3032386960,335,114
2026-07,신흥글로벌(주),원목 및 건축관련 목제품 도매업,경상남도,법인,2008-01-01,116,51716860,0,2
2026-07,이수매니지먼트주식회사,음료 소매업,서울특별시,법인,2022-04-01,161,25756480,2,1
2026-07,주식회사 프레스토솔루션,상품 종합 도매업,경기도,법인,2010-08-31,45,21948140,0,0
2026-07,수협은행,국내은행,서울특별시,법인,2016-12-01,1967,1128067220,6,24
2026-07,주식회사 아인스타파트너스,호텔업,인천광역시,법인,2026-03-23,36,10432880,1,2
2026-07,효진 주식회사/일용/C-프로젝트 신축공사 사업수행 3차,내부 전기배선 공사업,울산광역시,법인,2025-12-19,97,48212280,39,0
2026-07,행복관리플러스주식회사,산업설비  운송장비 및 공공장소 청소업,서울특별시,법인,2015-10-01,50,13685580,6,7
2026-07,광주지방기상청,BIZ_NO미존재사업장,전남광주통합특별시,법인,2007-02-20,31,7616240,6,0
2026-07,서울특별시립과학관(공무직),BIZ_NO미존재사업장,서울특별시,법인,2017-04-01,36,12499940,1,0
2026-07,주식회사램쉽,기타 주변 기기 제조업,경기도,법인,2021-03-08,58,26976060,0,0
2026-07,(주)대중,강 주물 주조업,경상북도,법인,1988-01-01,73,34044800,1,0
2026-07,화성엠텍(주)/일용/평택캠퍼스2단지 조성공사 및 P5 FAB 건축공사 중 금속공사 2공구,금속 문  창  셔터 및 관련제품 제조업,경기도,법인,2026-05-30,31,15485220,10,5
2026-07,대승정밀(주),그 외 자동차용 신품 부품 제조업,경기도,법인,2000-10-01,76,39768180,0,1
2026-07,다온산업,그 외 기타 1차 철강 제조업,울산광역시,개인,2020-02-01,91,32797340,9,5
2026-07,수원시의회,BIZ_NO미존재사업장,경기도,법인,2006-01-01,32,10261640,23,0
2026-07,(주)디에이치글로벌 첨단공장,BIZ_NO미존재사업장,전남광주통합특별시,법인,2015-01-15,129,37459960,0,2
2026-07,주식회사 정한조경/일용/당진 송악물류단지 조성사업(1-1공구) 중 조경공사(후속),조경 건설업,충청남도,법인,2026-04-17,30,9491860,17,26
2026-07,아이엔제이컨설팅주식회사,교육관련 자문 및 평가업,경기도,법인,2020-01-01,35,6356780,13,0
2026-07,주식회사론픽,기타 운동 및 경기용구 제조업,부산광역시,법인,2016-09-01,40,13695600,4,4
2026-07,서울시청직장어린이집,BIZ_NO미존재사업장,서울특별시,법인,2023-03-01,38,9361400,0,2
2026-07,(주)한국가스기술공사,미장  타일 및 방수 공사업,대전광역시,법인,1993-06-22,2368,1143135440,18,33
2026-07,（주）보현건설/(일용) 강천면 가야리 651-26외 1필지 종교시설(종교집회장) 신축공사,미장  타일 및 방수 공사업,경기도,법인,2024-12-30,85,27982500,3,1
2026-07,주식회사케이엘플러스,주차장 운영업,서울특별시,법인,2022-07-01,31,6488420,3,4
2026-07,사단법인 새해밀,그 외 기타 달리 분류되지 않은 개인 서비스업,전북특별자치도,법인,2021-01-04,115,19899800,3,70
2026-07,김성진한의원,한의원,인천광역시,개인,2000-05-01,37,9641700,0,1
2026-07,（주）사닥다리종합건설,BIZ_NO미존재사업장,경기도,법인,2013-02-01,36,16113020,4,4
2026-07,주식회사 동광솔루션,BIZ_NO미존재사업장,경상남도,법인,1999-07-15,32,10597820,1,0
2026-07,글로벤스주식회사,기타 반도체 소자 제조업,충청남도,법인,2009-07-06,68,25348580,0,0
2026-07,동해월마트(주),조미료 도매업,강원특별자치도,법인,2017-04-01,33,9374560,5,5
2026-07,금강기계공업(주),금속 문  창  셔터 및 관련제품 제조업,울산광역시,법인,1991-11-13,72,28917400,0,1
2026-07,주식회사 삼기 대구공장,그 외 자동차용 신품 부품 제조업,대구광역시,법인,2026-02-20,35,15897700,3,1
2026-07,(주)새한엘리베이터,기타 물품 취급장비 제조업,서울특별시,법인,2004-03-08,37,14786280,0,0
2026-07,시스코시스템즈코리아 유한회사,응용 소프트웨어 개발 및 공급업,서울특별시,법인,1995-01-23,284,174073960,1,3
2026-07,한국가스안전공사,기타 엔지니어링 서비스업,충청북도,법인,1988-01-01,1873,900522820,109,24
2026-07,시립동구어린이집,해당없음,경기도,법인,2025-06-01,31,6427800,0,0
2026-07,동강병원(동강의료재단),한방병원,울산광역시,법인,1988-01-01,1070,452796140,14,17
2026-07,쿠팡풀필먼트 용인센터,화물 포장  검수 및 계량 서비스업,경기도,법인,2021-09-01,2153,458539100,675,713
2026-07,(주)이디엠에듀케이션,애완 동물 장묘 및 보호 서비스업,서울특별시,법인,2003-07-01,92,36086020,0,5
2026-07,롯데카드(주),국내은행,서울특별시,법인,1995-07-01,1736,957920740,20,19
2026-07,주식회사더비소프트,응용 소프트웨어 개발 및 공급업,서울특별시,법인,2011-03-02,41,16357420,0,1
2026-07,유창로지스틱스(주),개별 화물 자동차 운송업,경기도,법인,2024-12-01,43,14867260,0,5
2026-07,주식회사동아에스씨엠,일반 화물 자동차 운송업,울산광역시,법인,2023-01-01,35,13849280,0,0
2026-07,365서울탑치과의원,치과의원,서울특별시,개인,2022-08-11,30,10910320,0,0
2026-07,오티비코리아 유한회사,그 외 기타 의복 액세서리 제조업,서울특별시,법인,2021-11-05,145,54338220,12,4
2026-07,득우건설(주)/일용/중원대 26동 기숙사 증축공사,아파트 건설업,충청북도,법인,2026-04-20,50,9053500,43,19
2026-07,주식회사 더에이치르블랑(고메스퀘어 수유점),한식 일반 음식점업,서울특별시,법인,2025-01-01,35,8014980,8,7
2026-07,(주)레드페이스,운동 및 경기용품 도매업,서울특별시,법인,2001-01-01,210,50877920,10,30
2026-07,（주）티디엠,전기식 진단 및 요법 기기 제조업,전남광주통합특별시,법인,2009-10-01,124,48491620,3,1
2026-07,이조케터링서비스(주),기관 구내식당업,서울특별시,법인,1993-03-01,61,12133920,5,7
2026-07,한국국토정보공사 서울경기북부지역본부,지도 제작업,경기도,법인,2022-02-01,430,245906460,0,8
2026-07,(주)에스피에이치,전자상거래 소매업,서울특별시,법인,2011-11-01,30,11548480,0,1
2026-07,태일회계법인,공인회계사업,서울특별시,법인,2009-04-01,132,61732200,6,3
2026-07,재단법인 관악문화재단,BIZ_NO미존재사업장,서울특별시,법인,2019-08-01,132,43741480,4,2
2026-07,(주)신현건설/일용/아산모종샛들지구 A-1BL 공동주택 건설공사 중 철근콘크리트공사1공구,유리 및 창호 공사업,충청남도,법인,2026-04-15,30,10115160,19,0
2026-07,부산중구청,비주거용 건물 임대업(점포  자기땅),부산광역시,법인,1989-02-01,48,12393840,9,1
2026-07,(주)하나금융지주,기타 금융 투자업,서울특별시,법인,2005-12-01,132,82056740,0,9
2026-07,주식회사월드타워,유리 및 창호 공사업,경기도,법인,2005-04-20,43,20178020,2,2
2026-07,주식회사남경,위생용 종이제품 제조업,경기도,법인,1988-01-01,43,19098160,0,0
2026-07,원창건설（주）/일용/(공동주택)천안 오룡경기장 철거부지 민관협력형 도시재생리츠 중 철근콘크리트공사,콘크리트 및 철근 공사업,충청남도,법인,2025-07-14,97,39457860,14,1
2026-07,(주)예일로지스,용달 화물 자동차 운송업,경기도,법인,2009-04-01,143,47775280,1,4
2026-07,완도군노인전문요양시설 고금요양원,BIZ_NO미존재사업장,전남광주통합특별시,법인,2006-03-17,49,12974940,2,2
2026-07,의료법인이원의료재단,그 외 기타 보건업,인천광역시,법인,1988-01-01,588,274206120,7,8
2026-07,씨제이텔레닉스(주),그 외 기타 분류 안된 전문  과학 및 기술 서비스업,서울특별시,법인,2001-02-01,1180,360803520,34,45
2026-07,(주)크린랩김해1공장,합성수지 및 기타 플라스틱 물질 제조업,경상남도,법인,2020-05-01,63,26887180,0,0
2026-07,네이처세븐,두부 및 유사 식품 제조업,경상북도,법인,1994-05-01,56,21567540,0,0
2026-07,아토브（ATOV）주식회사,BIZ_NO미존재사업장,부산광역시,법인,2014-01-01,44,12879820,4,0
2026-07,주식회사원익아이피에스,기타 반도체 소자 제조업,경기도,법인,2016-04-01,1475,821514700,10,18
2026-07,주식회사원창산업개발-(일용)군산지음특수학교 신축공사 중 철근콘크리트공사,유리 및 창호 공사업,전북특별자치도,법인,2025-10-01,41,10996880,25,0
2026-07,금아파워텍주식회사,BIZ_NO미존재사업장,경상남도,법인,2011-04-01,53,15189120,1,1
2026-07,한성철강(주),도매 / 함석,부산광역시,법인,1992-01-31,31,12150640,0,0
2026-07,주식회사 위원컴퍼니,비주거용 부동산 관리업,서울특별시,법인,2026-01-01,36,9545160,1,0
2026-07,주식회사 선앤엘인테리어/일용/광주중앙공원(1지구) 공동주택 개발사업(2BL) 중 내장목공사(2-1BL),기타 건축용 나무제품 제조업,전남광주통합특별시,법인,2025-08-29,35,13705900,7,0
2026-07,부루벨코리아(주),상품 종합 도매업,서울특별시,법인,1990-11-01,1039,399589020,36,29
2026-07,주식회사리니칼코리아,기타 인문 및 사회과학 연구개발업,서울특별시,법인,2014-04-01,60,25798940,1,4
2026-07,유한회사지티티코리아리미티드,그 외 기타 분류 안된 사업 지원 서비스업,서울특별시,법인,2023-09-01,61,38188440,0,0
2026-07,천사케어 주간보호센터,BIZ_NO미존재사업장,경상북도,개인,2019-02-07,32,6571620,4,3
2026-07,모아코리아주식회사,그 외 자동차용 신품 부품 제조업,경기도,법인,2003-01-01,75,21699100,10,2
2026-07,주식회사 백산기업,선박 구성 부분품 제조업,경상남도,법인,2024-03-29,68,22257060,0,6
2026-07,신안과의원,일반의원,대전광역시,개인,2016-09-28,48,12421500,6,5
2026-07,주식회사그레이프,비주거용 건물 임대업,서울특별시,법인,2018-08-02,42,12044720,5,5
2026-07,중원엔지니어링주식회사/일용/현대자동차 0-프로젝트 건설공사 중 기계소방공사(3공구),미장  타일 및 방수 공사업,경기도,법인,2026-05-19,90,37239780,49,1
2026-07,삼성여객(주),시내버스 운송업,부산광역시,법인,1988-01-01,285,150090160,1,2
2026-07,주식회사 청아시스템,건축물 일반 청소업,경기도,법인,2009-04-01,38,6302220,1,2
2026-07,(주)4링크스,기타 반도체 소자 제조업,경기도,법인,2016-12-23,42,17899600,0,1
